correctness: ok

size   | warm ns/q:  linear  binary  simd   intel  intels | cold ns/q:  linear  binary  simd   intel  intels
-------+------------------------------------------------+------------------------------------------------
    8  |    15.6    25.5   16.7   13.1   12.8              |    21.1    30.0   19.5   11.5   11.6
   16  |    19.7    29.0   14.0   12.3   12.9              |    23.2    35.1   12.9   10.9   11.5
   32  |    16.3    35.8   15.6   13.6   16.2              |    26.4    41.0   14.1   12.2   13.6
   64  |    17.4    46.7   18.5   16.7   15.6              |    31.3    49.8   16.4   14.3   17.4
  128  |    22.5    52.6   18.9   17.6   17.5              |    41.9    60.6   19.3   16.7   17.7
  256  |    25.4    61.5   22.6   18.8   18.4              |    57.2    84.7   39.8   25.8   24.2
  512  |    37.0    64.2   23.2   22.7   19.9              |   131.8   170.5   63.1   44.7   44.5
 1024  |    49.1    70.2   27.0   25.1   21.4              |   175.9   163.5   84.6   75.4   60.5
 2048  |   110.3    84.3   29.8   28.5   25.8              |   326.9   203.0  138.9  123.6   94.9
 4096  |   183.2    97.0   33.0   31.1   26.8              |   582.5   270.2  169.6  180.9  132.7
 4096* | intel_spine=26.79 intel_spine_4096=26.75  (warm)  | intel_spine=132.65 intel_spine_4096=130.20  (cold)
