correctness: ok

size   | warm ns/q:  linear  binary  simd   intel  intels | cold ns/q:  linear  binary  simd   intel  intels
-------+------------------------------------------------+------------------------------------------------
    8  |    15.6    25.5   18.5   13.2   12.9              |    21.5    30.3   19.4   11.8   11.7
   16  |    21.2    29.5   15.1   12.6   13.0              |    23.2    35.0   12.6   11.0   11.5
   32  |    18.0    37.0   16.4   14.5   15.7              |    26.6    41.3   14.1   12.2   13.6
   64  |    25.1    47.1   19.5   16.3   16.0              |    31.1    49.7   16.2   14.0   19.8
  128  |    21.1    53.8   19.3   18.1   17.8              |    50.8    67.1   18.6   16.5   17.5
  256  |    26.1    59.3   30.3   19.7   19.0              |    62.0    79.0   36.3   23.7   23.7
  512  |    37.7    74.7   23.9   23.1   20.3              |    99.9   115.6   66.6   42.7   41.7
 1024  |    51.4    71.3   27.2   25.3   22.0              |   185.8   162.3   84.2   75.5   61.4
 2048  |   106.4    76.9   29.2   29.4   24.9              |   326.0   219.9  141.1  153.0   93.8
 4096  |   163.0    82.3   33.8   31.2   28.4              |   581.5   276.8  171.5  178.1  132.3
 4096* | intel_spine=28.36 intel_spine_4096=26.78  (warm)  | intel_spine=132.28 intel_spine_4096=121.27  (cold)
