correctness: ok

size   | warm ns/q:  linear  binary  simd   intel  intels | cold ns/q:  linear  binary  simd   intel  intels
-------+------------------------------------------------+------------------------------------------------
    8  |    15.5    24.7   17.3   12.8   13.5              |    21.2    29.7   19.4   11.5   11.6
   16  |    20.9    29.4   13.8   12.6   12.6              |    28.7    42.7   19.4   13.9   13.7
   32  |    17.0    36.1   16.2   14.0   15.1              |    26.1    41.0   13.9   12.2   13.6
   64  |    17.8    44.5   16.6   15.1   16.1              |    31.2    50.1   16.4   19.5   22.7
  128  |    21.4    52.7   17.7   17.8   17.1              |    50.2    72.8   28.9   26.6   28.4
  256  |    25.2    58.7   21.3   19.3   18.7              |    57.2    81.0   34.3   24.5   24.6
  512  |    37.1    65.3   24.8   23.9   19.8              |   106.3   110.6   61.3   42.1   41.2
 1024  |    49.2    70.2   26.7   24.9   21.4              |   177.9   159.1   84.9   75.9   60.0
 2048  |   100.0    75.0   31.5   31.6   24.6              |   326.5   203.8  131.7  127.9   91.4
 4096  |   171.3    83.6   33.4   32.0   27.3              |   574.0   269.2  166.6  170.9  130.0
 4096* | intel_spine=27.29 intel_spine_4096=27.26  (warm)  | intel_spine=130.05 intel_spine_4096=121.96  (cold)
