correctness: ok

size   | warm ns/q:  linear  binary  simd   intel  intels | cold ns/q:  linear  binary  simd   intel  intels
-------+------------------------------------------------+------------------------------------------------
    8  |    16.1    24.5   16.7   13.1   12.9              |    21.6    30.0   19.4   11.7   11.7
   16  |    19.5    29.6   14.9   12.3   13.1              |    23.4    35.3   13.0   11.0   11.5
   32  |    16.3    39.6   28.6   17.4   16.0              |    27.3    41.3   13.9   13.2   13.6
   64  |    17.8    44.7   20.9   14.9   16.1              |    31.5    50.0   16.3   14.0   14.5
  128  |    21.6    52.5   19.0   18.0   18.1              |    40.7    60.2   18.6   16.4   17.4
  256  |    24.9    70.2   21.4   26.7   20.7              |    74.1   127.1   73.0   39.3   36.4
  512  |    37.7    64.7   23.9   22.2   20.8              |   100.9   117.3   60.1   42.1   46.8
 1024  |    49.8    71.2   26.0   25.7   20.6              |   174.9   155.7   79.4   71.3   56.9
 2048  |   101.6    75.7   29.2   28.6   26.9              |   331.2   207.5  157.5  176.6  128.1
 4096  |   166.9    80.8   32.4   31.6   26.7              |   719.4   452.2  260.2  243.3  172.4
 4096* | intel_spine=26.70 intel_spine_4096=27.11  (warm)  | intel_spine=172.44 intel_spine_4096=192.69  (cold)
