correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     7.5    18.6    8.5    4.9    5.0    5.6    5.2    4.8    5.0 |    15.3    20.8   10.5    5.9    6.9    6.6    7.7    6.6    7.1
   16  |    12.4    22.3    7.2    5.1    5.3    5.2    5.3    5.1    5.2 |    27.0    27.9   10.1    7.8    9.2   13.6   13.2    7.5    8.3
   32  |    20.9    27.4   11.8    8.3    7.2    6.0    6.1    8.2    7.2 |    39.2    34.0   13.7   11.9   10.8   15.1    9.0   13.1    9.8
   64  |    37.9    34.4   12.1   11.0   11.4   10.0    8.5   11.1   11.3 |    56.8    54.9   25.5   22.0   20.2   22.1   26.2   23.6   25.7
  128  |    71.7    39.8   16.0   13.5   11.9   12.7   12.9   13.0   14.4 |    89.4    73.6   41.0   44.1   50.6   62.7   53.2   46.3   62.6
  256  |   164.4    50.0   20.1   17.1   13.5   14.7   13.1   16.4   13.7 |   146.1    87.3   62.8   53.4   45.4   45.8   44.5   42.9   41.0
  512  |   273.7    52.9   21.7   20.3   15.9   21.7   22.8   27.9   23.7 |   419.5   212.3  211.3  200.1  177.2  190.6  174.2  185.1  143.8
 1024  |   616.4    73.2   29.6   29.0   21.7   22.5   17.2   26.3   22.4 |   652.7   275.5  252.5  230.9  155.9  254.1  158.3  253.4  177.8
 2048  |  1125.0    64.9   27.6   28.0   21.2   24.2   20.0   25.8   20.3 |   978.5   295.6  252.5  245.8  105.5  226.6  110.9  241.4  109.7
 4096  |  2752.3    72.1   31.6   32.7   23.9   27.5   22.8   29.8   23.3 |  1730.8   327.4  292.8  304.1  132.2  311.0  122.7  287.9  121.4
 4096* | gv4_spine=23.34 gv4_spine_4096=24.50  (warm)  | gv4_spine=121.37 gv4_spine_4096=130.99  (cold)
 4096* |  m4_spine=22.81  m4_spine_4096=17.70  (warm)  |  m4_spine=122.71  m4_spine_4096=106.48  (cold)
 4096* | pi5_spine=23.89 pi5_spine_4096=23.71  (warm)  | pi5_spine=132.19 pi5_spine_4096=142.10  (cold)
