correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     7.4    19.2    8.4    4.8    4.9    5.6    5.2    4.8    4.9 |    13.8    20.7   10.2    4.9    5.5    5.9    5.9    5.1    5.2
   16  |    13.3    27.3    9.0    6.2    6.8    7.9    7.9    7.6    7.8 |    39.6    42.4   11.4   11.9   10.3   20.7   20.4    9.6   13.4
   32  |    28.6    41.8   16.4   12.8   11.0    9.0    9.1   12.4   11.1 |    66.1    60.1   35.7   38.5   37.4   41.5   35.2   34.9   28.6
   64  |    57.0    52.6   21.8   16.7   17.3   14.8   12.8   19.4   11.5 |    44.4    43.4   16.7   15.2   16.1   17.1   16.0   14.3   14.3
  128  |   105.4    58.2   21.3   16.6   12.0   12.6   12.7   13.0   11.8 |    82.8    59.2   26.5   25.4   26.8   23.0   24.2   22.3   24.3
  256  |   139.3    46.1   20.7   20.2   16.3   17.9   16.0   19.3   13.7 |   153.3    85.5   66.4   62.4   61.8   53.3   49.5   44.8   42.7
  512  |   272.6    52.7   22.1   20.7   16.0   18.4   17.0   18.6   15.7 |   331.2   185.5  143.6  141.6  118.5  133.2  134.0  130.5  133.3
 1024  |   538.5    61.0   24.6   23.9   17.8   20.7   17.2   22.7   18.2 |   597.4   301.6  226.2  227.3  139.0  203.5  134.0  211.5  134.8
 2048  |  1290.3    65.1   27.7   28.1   20.6   24.1   20.1   25.9   20.3 |   962.1   289.2  266.3  246.2   99.2  213.0   88.7  201.5   92.7
 4096  |  2427.9    70.9   31.6   36.2   23.8   27.4   22.8   29.2   23.9 |  1847.9   352.9  323.1  327.2  154.7  297.6  131.4  297.6  126.6
 4096* | gv4_spine=23.87 gv4_spine_4096=24.60  (warm)  | gv4_spine=126.61 gv4_spine_4096=126.24  (cold)
 4096* |  m4_spine=22.76  m4_spine_4096=17.85  (warm)  |  m4_spine=131.42  m4_spine_4096=128.40  (cold)
 4096* | pi5_spine=23.75 pi5_spine_4096=24.36  (warm)  | pi5_spine=154.70 pi5_spine_4096=127.24  (cold)
