correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     7.3    17.4    8.5    5.1    5.0    5.7    5.2    4.8    5.1 |    14.8    21.9   10.3    5.0    6.1    5.9    5.6    5.2    5.0
   16  |    12.3    22.1    7.2    5.2    5.4    5.2    5.3    5.1    5.2 |    25.7    27.6    9.0    7.2    8.7   13.8   13.3    6.8    6.9
   32  |    21.0    27.5   10.0    8.3    7.3    6.0    6.1    8.3    7.3 |    39.1    37.4   18.6   13.3   11.6   16.0   10.5   12.2   11.1
   64  |    37.9    35.6   12.1   11.1   11.4   10.0    8.8   11.1   11.2 |    42.2    42.8   15.4   14.4   14.7   14.1   12.7   13.6   13.1
  128  |    71.7    39.7   15.6   13.4   11.9   12.7   14.2   15.7   14.3 |    87.8    68.0   31.0   27.0   27.3   28.7   33.3   24.1   27.7
  256  |   145.6    56.1   18.1   16.7   13.5   15.0   13.4   20.9   20.4 |   222.7   130.8  113.4  119.2  120.5   97.8   82.4   74.9   65.9
  512  |   329.2    54.9   23.5   20.8   15.9   18.1   15.2   18.6   16.2 |   323.8   160.0  148.7  139.0  116.9  131.4  131.2  135.1  117.4
 1024  |   588.8    70.6   29.6   26.1   17.8   20.7   17.2   22.6   18.0 |   631.9   322.8  267.3  194.2  142.0  224.9  148.7  185.0  118.5
 2048  |  1084.4    64.9   30.0   30.5   20.6   24.0   20.1   26.1   20.3 |   933.7   265.3  245.7  239.4   99.6  221.1   94.4  221.2   94.6
 4096  |  2584.7    84.2   31.6   31.6   23.3   27.6   22.9   29.5   23.3 |  1704.4   312.3  289.7  295.2  138.4  303.7  135.5  279.7  145.7
 4096* | gv4_spine=23.28 gv4_spine_4096=27.21  (warm)  | gv4_spine=145.68 gv4_spine_4096=175.03  (cold)
 4096* |  m4_spine=22.87  m4_spine_4096=20.20  (warm)  |  m4_spine=135.51  m4_spine_4096=143.30  (cold)
 4096* | pi5_spine=23.33 pi5_spine_4096=24.00  (warm)  | pi5_spine=138.36 pi5_spine_4096=137.27  (cold)
