correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     9.0    21.0   10.2    5.5    5.0    5.6    5.2    4.8    5.4 |    20.4    21.9   10.4    5.0    6.3    6.4    6.8    5.6    5.6
   16  |    12.3    23.0    7.2    5.1    5.3    5.2    5.3    5.2    5.3 |    25.7    28.6    9.2    7.3    9.0   14.3   14.6    8.7    9.4
   32  |    21.2    27.7   10.0    8.5    7.2    6.1    6.2    8.3    7.4 |    39.2    36.5   17.7   13.8   13.6   19.3   14.7   14.3   12.5
   64  |    38.3    34.2   12.2   11.1   11.4   10.0    8.7   11.2   11.3 |    41.4    43.1   15.5   13.8   14.6   14.5   13.4   13.9   14.3
  128  |    72.2    39.8   14.9   13.6   11.9   12.6   12.7   13.0   11.8 |    71.5    52.7   20.5   21.1   23.1   20.2   20.7   18.0   19.5
  256  |   139.7    46.3   17.8   18.4   13.5   14.5   13.0   16.3   13.6 |   156.4    88.3   68.9   60.9   61.0   64.1   67.1   57.5   55.9
  512  |   282.0    57.3   21.8   20.4   16.0   21.9   18.3   22.9   19.1 |   338.4   172.6  179.1  174.2  138.0  152.8  136.7  158.6  122.7
 1024  |   651.6    58.9   24.4   23.8   17.9   20.7   17.3   22.9   18.1 |   513.9   195.0  193.0  169.7  110.6  159.3  112.9  167.5  101.4
 2048  |  1105.7    64.6   27.8   28.3   20.8   24.0   20.3   25.9   20.2 |   908.2   252.4  232.7  227.4   96.0  209.8   90.7  231.6  111.3
 4096  |  2171.3    85.2   37.6   32.3   23.3   27.6   22.9   29.7   23.3 |  1730.4   316.1  297.8  378.3  177.0  362.9  186.3  358.1  147.5
 4096* | gv4_spine=23.26 gv4_spine_4096=24.53  (warm)  | gv4_spine=147.46 gv4_spine_4096=110.34  (cold)
 4096* |  m4_spine=22.90  m4_spine_4096=17.75  (warm)  |  m4_spine=186.29  m4_spine_4096=142.45  (cold)
 4096* | pi5_spine=23.26 pi5_spine_4096=23.75  (warm)  | pi5_spine=176.97 pi5_spine_4096=155.73  (cold)
