correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     2.2     8.1    3.3    2.5    2.6    2.5    2.4    2.4    2.4 |     6.8     7.8    8.2    2.7    2.6    2.7    2.7    2.6    2.7
   16  |     3.8     7.1    2.6    2.4    2.4    2.4    2.4    2.4    2.4 |     7.8     6.7    2.5    2.5    2.4    2.4    2.6    2.4    2.4
   32  |     7.1     7.3    2.6    2.7    3.2    2.4    2.5    2.7    3.2 |     9.9     6.6    2.6    2.6    3.0    2.4    2.4    2.6    3.5
   64  |    13.2     8.1    3.2    2.8    3.1    3.0    3.4    2.8    3.1 |    15.5     7.1    3.0    2.8    3.1    3.1    3.4    2.8    3.0
  128  |    25.9     9.2    3.5    3.7    3.0    3.6    3.7    3.4    3.0 |    25.5     8.9    4.4    3.9    4.5    3.8    4.0    3.4    3.5
  256  |    51.4    10.4    4.5    4.3    3.5    4.1    3.8    3.9    3.4 |    46.2    11.3    5.4    5.5    4.4    5.4    4.6    5.4    3.9
  512  |   111.3    12.9    5.3    5.8    4.1    4.7    4.3    5.1    4.0 |    87.3    15.2    7.4    7.7   10.2    6.9    6.0    6.9    4.9
 1024  |   211.9    13.8    6.8    6.6    4.7    5.5    4.9    5.8    4.7 |   169.0    23.2   14.6   10.6    9.1   10.1    8.8    9.5    5.6
 2048  |   410.5    15.3    7.6    8.5    5.6    6.4    5.5    7.3    5.5 |   324.2    58.5   24.2   20.2   11.6   18.2    7.9   17.3   10.5
 4096  |   798.7    17.3    9.2    9.3    6.4    7.5    6.3    8.1    6.3 |   633.4   123.1   49.4   28.5   23.2   32.1   11.1   27.1   15.4
 4096* | gv4_spine=6.28 gv4_spine_4096=5.48  (warm)  | gv4_spine=15.43 gv4_spine_4096=30.94  (cold)
 4096* |  m4_spine=6.33  m4_spine_4096=6.10  (warm)  |  m4_spine=11.05  m4_spine_4096=31.21  (cold)
 4096* | pi5_spine=6.42 pi5_spine_4096=5.55  (warm)  | pi5_spine=23.21 pi5_spine_4096=31.97  (cold)
