correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     2.2     7.9    3.4    2.5    2.5    2.4    2.4    2.5    2.4 |     6.8     7.3    7.8    2.5    2.4    2.5    2.5    2.4    2.4
   16  |     3.8     7.1    2.6    2.4    2.4    2.4    2.4    2.4    2.4 |     8.3     6.7    3.1    2.4    2.5    2.4    2.5    2.4    2.4
   32  |     7.0     7.4    2.7    2.7    3.2    2.4    2.5    2.7    3.2 |    10.0     6.6    2.7    2.7    3.6    2.6    2.5    2.6    3.1
   64  |    13.3     8.1    3.0    2.8    3.2    3.1    3.4    2.9    3.1 |    15.2     7.0    3.0    2.7    4.2    2.9    3.5    2.7    3.3
  128  |    25.9     9.0    3.6    3.8    3.0    3.6    3.7    3.4    3.0 |    24.4     8.2    3.7    3.7    4.4    3.8    4.0    3.4    3.5
  256  |    51.5    10.4    4.6    4.3    3.5    4.0    3.8    4.1    3.4 |    47.0    12.5    5.6    5.5    5.9    5.4    4.5    5.3    3.9
  512  |   110.4    12.0    5.2    5.8    4.0    4.7    4.4    5.0    4.0 |    89.5    16.3    8.5    8.1    9.6    7.3    5.1    7.3    5.7
 1024  |   210.1    13.6    6.6    6.7    4.8    5.4    4.8    9.0    4.8 |   169.1    25.9   16.3   10.1    9.0   10.2    8.5   11.0    5.8
 2048  |   468.7    15.4    7.6    8.4    5.5    6.3    5.5    7.3    5.7 |   332.9    84.3   33.1   23.1   12.7   20.3    8.3   19.8   11.4
 4096  |   798.0    17.6    9.3    9.4    6.4    7.5    6.3    8.3    6.5 |   674.1   166.3   58.2   33.8   19.5   38.4   11.3   31.1   14.2
 4096* | gv4_spine=6.52 gv4_spine_4096=5.69  (warm)  | gv4_spine=14.17 gv4_spine_4096=28.44  (cold)
 4096* |  m4_spine=6.28  m4_spine_4096=6.17  (warm)  |  m4_spine=11.30  m4_spine_4096=32.70  (cold)
 4096* | pi5_spine=6.36 pi5_spine_4096=5.52  (warm)  | pi5_spine=19.51 pi5_spine_4096=25.77  (cold)
