correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     2.2     8.0    3.4    2.5    2.5    2.4    2.4    2.4    2.5 |     6.2     7.2    7.5    2.4    2.5    2.5    2.6    2.4    2.4
   16  |     3.9     7.3    2.6    2.4    2.4    2.4    2.4    2.4    2.4 |     7.6     6.6    2.5    2.5    2.4    2.4    2.4    2.4    2.4
   32  |     6.9     7.3    2.6    2.7    3.2    2.4    2.4    2.7    3.2 |    10.1     6.6    2.6    2.6    3.0    2.5    2.5    2.6    3.0
   64  |    13.4     8.2    3.0    2.9    3.1    3.1    3.5    2.8    3.1 |    14.8     7.1    3.0    2.8    3.1    3.0    3.2    2.7    3.0
  128  |    26.4     9.4    3.6    3.8    3.1    3.5    3.7    3.4    3.1 |    26.6     8.8    3.8    3.9    4.7    4.2    4.1    3.6    4.0
  256  |    51.4    10.4    4.5    4.3    3.4    4.0    3.8    3.9    3.4 |    46.2    11.8    5.4    5.4    4.8    5.4    4.6    6.0    3.9
  512  |   110.5    12.0    5.2    5.8    4.0    4.7    4.3    5.0    4.0 |    86.6    15.6    7.6    7.9    8.8    7.1    5.0    7.0    4.9
 1024  |   211.0    13.8    6.7    6.6    4.7    5.5    4.9    5.9    4.7 |   167.2    30.0   22.3   10.5    8.5   10.0    8.5    9.7    6.0
 2048  |   413.8    15.3    7.7    8.4    5.5    6.3    5.6    8.1    5.7 |   339.1    83.3   30.1   24.2   12.6   22.9    8.4   22.1   11.5
 4096  |   803.7    17.3    9.2    9.3    6.4    7.5    6.3    8.2    6.3 |   660.6   137.7   60.6   34.3   23.6   38.9   12.0   33.5   18.8
 4096* | gv4_spine=6.33 gv4_spine_4096=5.58  (warm)  | gv4_spine=18.82 gv4_spine_4096=34.79  (cold)
 4096* |  m4_spine=6.27  m4_spine_4096=6.16  (warm)  |  m4_spine=11.96  m4_spine_4096=33.81  (cold)
 4096* | pi5_spine=6.37 pi5_spine_4096=5.58  (warm)  | pi5_spine=23.61 pi5_spine_4096=34.57  (cold)
