correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     2.3     8.2    3.5    2.5    2.5    2.5    2.5    2.5    2.5 |     6.2     7.2    7.6    2.5    2.5    2.5    2.5    2.4    2.4
   16  |     3.9     7.4    2.7    2.5    2.5    2.5    2.5    2.5    2.5 |     7.8     6.9    2.6    2.5    2.5    2.5    2.5    2.5    2.5
   32  |     7.1     7.4    2.7    2.7    3.2    2.5    2.5    2.7    3.2 |    10.1     6.7    2.6    2.7    3.1    2.5    2.5    2.6    3.1
   64  |    13.7     8.2    3.1    2.9    3.2    3.1    3.4    2.9    3.2 |    15.1     7.2    3.1    2.8    3.2    3.1    3.4    2.8    3.2
  128  |    26.5     9.2    3.6    3.7    3.1    3.6    3.8    3.5    3.1 |    25.5     8.6    3.7    3.8    4.4    4.0    4.2    3.6    3.5
  256  |    52.2    10.7    4.7    4.4    3.6    4.1    3.8    4.0    3.5 |    48.0    11.4    5.6    5.5    4.8    6.3    4.8    5.6    4.1
  512  |   112.3    12.3    5.4    5.9    4.1    4.8    4.4    5.1    4.1 |    88.1    16.3    8.7    7.8    7.6    7.6    5.5    7.4    5.1
 1024  |   214.9    14.0    6.8    6.8    4.9    5.6    4.9    6.0    4.8 |   161.1    22.8   15.0   10.0    9.2    9.7    8.3    9.2    5.5
 2048  |   459.5    15.4    7.7    8.5    5.7    6.4    5.6    7.4    5.5 |   318.5    51.0   20.7   17.4   10.8   17.1    7.9   16.7   10.2
 4096  |   804.0    17.4    9.2    9.5    6.7    7.8    6.3    8.4    6.3 |   648.4   161.0   67.5   35.1   24.0   37.1   10.5   27.0   17.3
 4096* | gv4_spine=6.34 gv4_spine_4096=5.56  (warm)  | gv4_spine=17.28 gv4_spine_4096=32.40  (cold)
 4096* |  m4_spine=6.35  m4_spine_4096=6.16  (warm)  |  m4_spine=10.50  m4_spine_4096=30.24  (cold)
 4096* | pi5_spine=6.72 pi5_spine_4096=5.58  (warm)  | pi5_spine=24.04 pi5_spine_4096=34.76  (cold)
