correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     1.6     4.3    2.0    1.4    1.4    1.4    1.7    1.4    1.5 |     4.7     5.2    5.4    1.5    1.3    1.3    1.7    1.1    1.1
   16  |     2.8     4.2    1.4    1.2    1.2    1.5    1.4    1.2    1.2 |     6.3     4.4    1.3    0.9    1.3    1.2    1.5    1.3    0.9
   32  |     5.1     4.7    1.6    1.9    2.4    1.5    1.2    1.9    2.4 |     7.0     3.9    1.3    1.7    2.2    1.2    1.3    1.9    2.3
   64  |    10.0     5.2    2.1    2.0    2.4    2.1    2.5    2.0    2.4 |    11.5     4.1    1.9    1.8    2.2    1.9    2.3    1.7    2.3
  128  |    19.4     5.8    2.5    2.4    2.1    2.1    2.6    2.3    2.1 |    18.9     5.3    2.5    2.5    2.4    2.5    3.0    2.4    2.3
  256  |    38.4     6.6    3.2    2.8    2.3    2.6    2.6    2.6    2.3 |    33.9     7.1    4.1    4.1    2.6    4.3    3.3    4.1    2.6
  512  |    83.3     7.7    3.8    3.8    2.8    3.0    2.8    3.4    2.8 |    68.2    12.1    5.6    5.9    3.1    5.1    3.5    4.8    3.4
 1024  |   163.5     9.0    4.7    4.3    3.3    3.6    3.3    3.9    3.3 |   130.1    23.4   10.5    7.3    3.6    7.1    4.0    6.3    3.7
 2048  |   307.2     9.9    5.3    5.6    4.0    4.2    3.7    4.9    4.0 |   247.6    41.2   16.5   10.4   10.1   10.3    4.2    8.7    5.1
 4096  |   592.9    11.1    6.2    6.2    4.6    5.0    4.3    5.5    4.6 |   477.0    61.6   28.2   15.1   16.1   15.5    6.5   11.7    5.1
 4096* | gv4_spine=4.58 gv4_spine_4096=3.69  (warm)  | gv4_spine=5.15 gv4_spine_4096=11.10  (cold)
 4096* |  m4_spine=4.34  m4_spine_4096=3.63  (warm)  |  m4_spine=6.47  m4_spine_4096=18.65  (cold)
