=== M4 Max F vs Lem sweep medians (5 runs, 2026-05-20) ===
    n     F.hb    L.hb     d%     F.hs    L.hs     d%     F.cb    L.cb     d%     F.cs    L.cs     d%
    45: {"hb":(14.680,15.415), "hs":(14.609,20.180), "cb":(109.795,128.955), "cs":(168.125,222.290)},
    46: {"hb":(14.990,16.723), "hs":(14.905,20.972), "cb":(102.085,116.455), "cs":(154.375,245.415)},
    48: {"hb":(15.622,11.271), "hs":(16.073,18.507), "cb":(110.210,118.955), "cs":(155.835,258.125)},
    49: {"hb":(15.790,11.079), "hs":(16.021,18.356), "cb":(109.375,119.170), "cs":(180.625,226.875)},
    51: {"hb":(17.231,12.774), "hs":(16.605,19.124), "cb":(122.290,122.290), "cs":(178.335,237.915)},
    53: {"hb":(17.749,13.226), "hs":(18.670,19.861), "cb":(231.045,116.665), "cs":(178.960,231.460)},
    54: {"hb":(18.294,12.950), "hs":(19.094,20.396), "cb":(141.040,115.625), "cs":(206.040,212.710)},
    56: {"hb":(19.669,13.553), "hs":(19.649,19.883), "cb":(135.000,115.835), "cs":(211.875,204.375)},
    58: {"hb":(20.222,13.902), "hs":(20.405,19.750), "cb":(153.960,116.665), "cs":(222.085,188.125)},
    60: {"hb":(20.255,14.727), "hs":(20.331,20.531), "cb":(177.085,132.710), "cs":(207.915,195.000)},
    62: {"hb":(21.608,15.482), "hs":(21.204,20.311), "cb":(169.375,128.960), "cs":(236.665,195.835)},
    64: {"hb":(10.249,11.794), "hs":(12.220,17.811), "cb":(120.000,135.205), "cs":(254.585,206.045)},
    66: {"hb":(10.868,12.701), "hs":(13.706,18.905), "cb":(118.125,126.460), "cs":(303.335,207.500)},
    68: {"hb":(12.315,12.294), "hs":(13.690,18.581), "cb":(118.125,123.540), "cs":(316.040,232.915)},
    71: {"hb":(12.040,13.419), "hs":(14.838,19.012), "cb":(121.045,128.540), "cs":(331.040,215.625)},
    73: {"hb":(13.404,14.659), "hs":(14.154,20.066), "cb":(127.710,137.500), "cs":(358.335,232.705)},
    75: {"hb":(13.204,14.789), "hs":(16.425,19.391), "cb":(116.040,136.665), "cs":(289.585,223.540)},
    78: {"hb":(13.095,14.770), "hs":(16.074,20.078), "cb":(117.915,124.580), "cs":(287.705,201.665)},
    81: {"hb":(14.500,13.050), "hs":(17.381,19.633), "cb":(115.625,142.710), "cs":(313.750,217.710)},
    83: {"hb":(14.965,12.797), "hs":(16.652,19.408), "cb":(128.960,140.420), "cs":(289.790,217.085)},
    86: {"hb":(15.210,13.340), "hs":(17.158,19.555), "cb":(115.830,133.330), "cs":(309.165,212.290)},
    89: {"hb":(15.854,14.683), "hs":(18.047,19.760), "cb":(130.830,144.580), "cs":(306.250,238.125)},
    92: {"hb":(16.650,14.950), "hs":(17.966,20.567), "cb":(140.830,141.670), "cs":(278.335,219.790)},
    95: {"hb":(16.171,15.312), "hs":(18.924,20.568), "cb":(134.375,145.000), "cs":(353.335,240.210)},
    98: {"hb":(17.117,13.007), "hs":(19.373,19.596), "cb":(148.335,139.580), "cs":(338.125,226.455)},
    102: {"hb":(17.481,14.578), "hs":(19.792,20.688), "cb":(161.665,146.250), "cs":(260.000,228.960)},
    105: {"hb":(20.927,14.360), "hs":(21.107,21.046), "cb":(181.250,140.835), "cs":(323.750,224.375)},
    109: {"hb":(19.535,15.488), "hs":(21.282,21.614), "cb":(163.750,154.165), "cs":(327.920,267.710)},
    112: {"hb":(20.277,13.771), "hs":(21.669,20.647), "cb":(147.290,156.040), "cs":(271.460,247.500)},
    116: {"hb":(20.394,14.200), "hs":(21.315,20.836), "cb":(242.290,143.750), "cs":(396.455,252.710)},
    120: {"hb":(20.995,15.279), "hs":(21.902,20.740), "cb":(242.500,166.250), "cs":(305.205,237.705)},
    124: {"hb":(23.024,15.396), "hs":(23.075,21.354), "cb":(217.085,135.625), "cs":(324.580,243.335)},
    128: {"hb":(13.895,12.724), "hs":(15.283,19.646), "cb":(131.250,137.915), "cs":(271.040,230.415)},
    132: {"hb":(14.440,13.643), "hs":(17.446,21.157), "cb":(119.580,152.295), "cs":(401.455,239.375)},
    137: {"hb":(13.923,14.457), "hs":(16.594,21.617), "cb":(126.665,145.625), "cs":(355.625,390.210)},
    141: {"hb":(16.305,15.393), "hs":(17.360,20.936), "cb":(123.545,148.960), "cs":(309.585,260.835)},
    146: {"hb":(15.082,14.345), "hs":(17.110,21.691), "cb":(127.705,156.250), "cs":(357.085,236.250)},
    151: {"hb":(16.211,14.386), "hs":(17.979,21.387), "cb":(127.080,159.375), "cs":(342.080,245.830)},
    156: {"hb":(18.016,15.634), "hs":(18.400,21.802), "cb":(141.040,160.210), "cs":(381.875,270.625)},
    161: {"hb":(17.457,14.273), "hs":(20.250,21.693), "cb":(146.875,158.330), "cs":(288.960,278.750)},
    167: {"hb":(17.628,15.631), "hs":(19.871,21.953), "cb":(134.375,155.415), "cs":(281.040,237.290)},
    172: {"hb":(17.301,16.186), "hs":(19.954,22.191), "cb":(188.125,178.960), "cs":(297.085,257.915)},
    178: {"hb":(19.389,15.312), "hs":(23.801,22.474), "cb":(173.540,180.210), "cs":(284.790,274.790)},
    184: {"hb":(20.489,15.754), "hs":(21.209,23.017), "cb":(152.915,173.960), "cs":(313.125,251.875)},
    190: {"hb":(19.151,16.524), "hs":(21.602,24.129), "cb":(173.750,170.835), "cs":(337.085,283.750)},
    197: {"hb":(15.274,16.344), "hs":(17.954,22.801), "cb":(133.125,180.205), "cs":(427.500,282.085)},
    203: {"hb":(16.101,15.923), "hs":(22.024,23.722), "cb":(140.835,162.710), "cs":(307.295,288.125)},
    210: {"hb":(16.655,16.467), "hs":(19.689,23.589), "cb":(144.790,177.705), "cs":(333.540,311.875)},
    217: {"hb":(16.884,16.721), "hs":(20.678,25.315), "cb":(151.250,178.960), "cs":(281.460,297.085)},
    224: {"hb":(18.229,16.769), "hs":(22.005,25.222), "cb":(141.665,184.375), "cs":(317.915,293.125)},
    232: {"hb":(19.281,18.306), "hs":(22.044,26.846), "cb":(141.040,170.205), "cs":(313.540,330.000)},
    240: {"hb":(18.790,18.659), "hs":(21.835,27.133), "cb":(157.915,178.540), "cs":(337.920,323.750)},
    248: {"hb":(20.262,19.774), "hs":(22.680,27.531), "cb":(145.415,176.460), "cs":(393.125,309.790)},
    256: {"hb":(14.515,17.949), "hs":(18.518,27.560), "cb":(140.205,183.960), "cs":(273.750,345.000)},
    265: {"hb":(15.973,19.983), "hs":(18.316,29.167), "cb":(132.710,181.250), "cs":(388.750,315.000)},
    273: {"hb":(16.992,19.350), "hs":(19.113,28.216), "cb":(131.460,191.040), "cs":(428.330,356.460)},
    283: {"hb":(16.772,20.746), "hs":(20.761,30.049), "cb":(136.875,191.665), "cs":(448.750,337.915)},
    292: {"hb":(18.054,20.319), "hs":(20.255,29.015), "cb":(142.500,185.000), "cs":(389.585,330.625)},
    302: {"hb":(19.626,21.696), "hs":(20.641,30.648), "cb":(147.290,198.335), "cs":(389.790,310.000)},
    312: {"hb":(18.644,21.980), "hs":(20.936,30.085), "cb":(152.080,205.415), "cs":(433.545,358.540)},
    323: {"hb":(15.482,20.609), "hs":(18.732,29.807), "cb":(128.955,201.460), "cs":(483.960,339.585)},
    333: {"hb":(16.435,20.099), "hs":(20.158,30.505), "cb":(157.085,181.875), "cs":(342.295,341.665)},
    345: {"hb":(17.204,21.176), "hs":(21.285,32.280), "cb":(156.455,195.415), "cs":(387.915,338.955)},
    356: {"hb":(17.556,22.148), "hs":(19.782,30.847), "cb":(171.665,189.790), "cs":(328.960,351.045)},
    368: {"hb":(18.230,20.950), "hs":(21.360,30.029), "cb":(167.500,195.415), "cs":(304.165,334.585)},
    380: {"hb":(18.858,21.174), "hs":(22.042,31.340), "cb":(161.250,182.920), "cs":(321.665,333.335)},
    393: {"hb":(17.876,23.035), "hs":(21.071,32.210), "cb":(136.455,191.665), "cs":(353.540,355.830)},
    406: {"hb":(18.596,23.940), "hs":(21.916,33.510), "cb":(140.625,202.710), "cs":(333.545,370.420)},
    420: {"hb":(18.538,21.288), "hs":(21.873,31.583), "cb":(141.875,190.000), "cs":(434.165,334.790)},
    434: {"hb":(19.146,22.051), "hs":(22.441,33.217), "cb":(152.080,205.835), "cs":(311.875,330.000)},
    449: {"hb":(16.861,22.802), "hs":(19.582,32.567), "cb":(183.545,239.375), "cs":(296.455,350.415)},
    464: {"hb":(17.007,21.499), "hs":(21.701,32.620), "cb":(174.170,236.045), "cs":(305.625,403.960)},
    479: {"hb":(18.123,21.611), "hs":(21.038,32.775), "cb":(201.045,217.710), "cs":(427.915,398.125)},
    495: {"hb":(18.775,22.230), "hs":(21.203,32.157), "cb":(163.125,203.750), "cs":(267.500,334.165)},
    512: {"hb":(16.681,22.518), "hs":(19.558,30.811), "cb":(153.750,219.165), "cs":(258.125,323.125)},
    529: {"hb":(18.302,23.759), "hs":(21.901,35.545), "cb":(138.750,203.960), "cs":(315.415,356.045)},
    547: {"hb":(18.781,24.834), "hs":(20.966,33.744), "cb":(149.580,219.375), "cs":(344.375,377.710)},
    565: {"hb":(19.582,25.395), "hs":(22.318,34.826), "cb":(150.415,210.835), "cs":(390.830,378.335)},
    584: {"hb":(19.212,23.705), "hs":(21.554,33.265), "cb":(158.960,200.210), "cs":(287.915,340.205)},
    604: {"hb":(19.125,23.991), "hs":(22.681,34.194), "cb":(142.295,199.375), "cs":(288.335,358.335)},
    624: {"hb":(20.462,26.966), "hs":(23.369,34.648), "cb":(154.585,196.045), "cs":(380.415,364.375)},
    645: {"hb":(18.576,24.931), "hs":(22.113,34.404), "cb":(155.000,190.835), "cs":(273.750,343.335)},
    667: {"hb":(19.468,25.510), "hs":(22.027,35.712), "cb":(154.795,206.460), "cs":(275.210,347.295)},
    689: {"hb":(20.605,25.202), "hs":(23.036,35.093), "cb":(155.000,202.710), "cs":(367.080,345.625)},
    712: {"hb":(19.143,25.796), "hs":(22.553,36.711), "cb":(171.250,197.290), "cs":(310.415,365.415)},
    736: {"hb":(20.158,26.508), "hs":(23.647,35.065), "cb":(163.960,204.375), "cs":(365.830,367.290)},
    761: {"hb":(21.209,26.307), "hs":(24.030,37.546), "cb":(180.210,227.085), "cs":(301.875,371.875)},
    786: {"hb":(19.005,24.783), "hs":(23.993,35.067), "cb":(156.250,184.170), "cs":(329.170,373.540)},
    813: {"hb":(19.773,26.694), "hs":(22.056,37.451), "cb":(144.790,217.710), "cs":(287.915,403.960)},
    840: {"hb":(19.761,26.604), "hs":(22.504,36.594), "cb":(148.540,214.165), "cs":(291.665,390.420)},
    868: {"hb":(19.934,28.128), "hs":(22.847,38.910), "cb":(173.335,209.165), "cs":(332.500,408.335)},
    897: {"hb":(19.071,26.906), "hs":(22.819,36.890), "cb":(157.705,220.205), "cs":(270.415,381.250)},
    927: {"hb":(20.498,29.319), "hs":(22.743,39.577), "cb":(150.835,216.045), "cs":(352.290,388.540)},
    959: {"hb":(21.586,29.444), "hs":(24.474,40.448), "cb":(162.085,214.790), "cs":(291.875,393.125)},
    991: {"hb":(20.823,28.161), "hs":(23.599,39.447), "cb":(168.335,195.835), "cs":(326.460,413.545)},
    1024: {"hb":(22.050,32.395), "hs":(22.742,41.345), "cb":(146.665,199.795), "cs":(393.335,413.545)},
    1058: {"hb":(21.727,33.796), "hs":(23.508,42.438), "cb":(154.375,240.000), "cs":(323.750,412.710)},
    1094: {"hb":(22.274,32.274), "hs":(25.142,41.377), "cb":(175.830,222.500), "cs":(408.545,423.955)},
    1131: {"hb":(23.094,33.221), "hs":(25.482,43.310), "cb":(177.500,236.250), "cs":(361.040,483.960)},
    1169: {"hb":(22.942,33.714), "hs":(25.829,44.191), "cb":(179.585,266.670), "cs":(435.830,394.375)},
    1208: {"hb":(22.502,32.227), "hs":(25.850,41.575), "cb":(167.295,218.330), "cs":(296.670,410.625)},
    1248: {"hb":(23.967,31.990), "hs":(25.391,41.533), "cb":(176.250,233.750), "cs":(286.665,445.835)},
    1290: {"hb":(21.890,30.360), "hs":(26.249,44.921), "cb":(179.790,217.085), "cs":(283.750,406.665)},
    1333: {"hb":(21.870,31.734), "hs":(24.983,41.188), "cb":(172.295,249.585), "cs":(337.085,452.500)},
    1378: {"hb":(22.891,32.457), "hs":(26.243,42.545), "cb":(161.665,209.790), "cs":(480.415,459.585)},
    1424: {"hb":(23.133,32.679), "hs":(25.067,41.355), "cb":(167.500,209.170), "cs":(490.205,445.625)},
    1472: {"hb":(21.328,32.741), "hs":(24.956,42.371), "cb":(180.625,233.125), "cs":(463.750,448.545)},
    1522: {"hb":(21.752,32.402), "hs":(26.097,44.283), "cb":(174.170,240.415), "cs":(468.750,432.295)},
    1573: {"hb":(23.772,33.736), "hs":(25.809,43.931), "cb":(172.710,228.125), "cs":(312.290,429.585)},
    1625: {"hb":(24.107,34.101), "hs":(26.805,45.536), "cb":(168.955,239.580), "cs":(279.165,462.290)},
    1680: {"hb":(23.526,33.710), "hs":(25.914,45.218), "cb":(183.960,242.920), "cs":(395.210,474.795)},
    1736: {"hb":(24.157,34.017), "hs":(27.173,45.781), "cb":(166.460,224.585), "cs":(367.705,442.085)},
    1795: {"hb":(23.225,35.938), "hs":(26.321,46.373), "cb":(167.290,247.920), "cs":(283.955,463.335)},
    1855: {"hb":(22.805,34.361), "hs":(29.126,45.970), "cb":(157.710,242.085), "cs":(445.625,494.790)},
    1917: {"hb":(24.955,37.886), "hs":(27.055,45.425), "cb":(168.960,253.750), "cs":(352.290,482.500)},
    1982: {"hb":(25.004,35.706), "hs":(28.329,47.485), "cb":(169.790,235.415), "cs":(335.625,468.750)},
    2048: {"hb":(22.330,33.187), "hs":(26.711,46.100), "cb":(151.665,264.585), "cs":(352.290,513.960)},
    2117: {"hb":(25.446,36.033), "hs":(30.613,50.215), "cb":(156.460,258.330), "cs":(327.085,510.000)},
    2188: {"hb":(25.686,36.593), "hs":(30.752,49.337), "cb":(163.955,303.960), "cs":(330.835,536.460)},
    2261: {"hb":(26.308,35.028), "hs":(28.633,47.483), "cb":(170.210,279.795), "cs":(323.750,519.165)},
    2337: {"hb":(26.698,36.544), "hs":(29.113,48.597), "cb":(175.415,325.000), "cs":(321.040,526.045)},
    2415: {"hb":(27.159,35.214), "hs":(29.181,48.824), "cb":(159.795,267.500), "cs":(358.540,616.460)},
    2497: {"hb":(26.976,35.597), "hs":(26.949,46.312), "cb":(180.625,280.835), "cs":(382.920,514.580)},
    2580: {"hb":(24.441,38.069), "hs":(28.847,47.879), "cb":(177.085,286.045), "cs":(302.915,511.250)},
    2667: {"hb":(25.633,36.282), "hs":(29.261,47.281), "cb":(168.750,292.085), "cs":(342.710,507.500)},
    2756: {"hb":(25.078,37.256), "hs":(28.327,48.594), "cb":(158.330,319.585), "cs":(337.290,524.165)},
    2849: {"hb":(26.729,37.410), "hs":(28.747,49.350), "cb":(169.375,373.750), "cs":(313.545,523.750)},
    2945: {"hb":(24.646,36.909), "hs":(28.746,48.940), "cb":(182.500,373.960), "cs":(397.920,549.795)},
    3043: {"hb":(27.071,36.182), "hs":(34.319,55.361), "cb":(198.125,307.295), "cs":(473.960,613.750)},
    3145: {"hb":(27.396,36.782), "hs":(29.383,50.602), "cb":(172.295,295.420), "cs":(375.205,603.335)},
    3251: {"hb":(29.304,38.660), "hs":(30.636,50.059), "cb":(176.250,301.670), "cs":(303.125,542.500)},
    3360: {"hb":(27.691,45.375), "hs":(31.347,55.154), "cb":(174.585,348.960), "cs":(363.125,629.375)},
    3473: {"hb":(28.728,40.212), "hs":(31.839,53.784), "cb":(180.625,351.040), "cs":(353.750,605.000)},
    3589: {"hb":(27.322,37.345), "hs":(31.372,65.481), "cb":(161.875,241.455), "cs":(380.000,472.500)},
    3710: {"hb":(25.284,39.546), "hs":(28.154,51.007), "cb":(181.875,248.125), "cs":(365.415,578.960)},
    3834: {"hb":(27.294,39.121), "hs":(34.455,55.605), "cb":(172.500,248.125), "cs":(312.085,516.250)},
    3963: {"hb":(25.995,41.285), "hs":(30.975,52.250), "cb":(164.795,226.875), "cs":(322.500,562.705)},
    4096: {"hb":(24.976,43.386), "hs":(29.528,60.544), "cb":(148.330,251.665), "cs":(299.170,523.125)},
    4233: {"hb":(32.605,44.069), "hs":(35.257,59.303), "cb":(185.000,351.250), "cs":(315.000,609.375)},
    4376: {"hb":(30.154,42.140), "hs":(37.942,51.917), "cb":(175.000,361.460), "cs":(339.165,689.375)},
    4522: {"hb":(29.202,46.257), "hs":(35.630,62.141), "cb":(204.165,400.210), "cs":(531.665,602.500)},
    4674: {"hb":(40.507,53.665), "hs":(33.582,70.612), "cb":(204.170,455.210), "cs":(407.085,663.125)},
    4831: {"hb":(29.805,43.603), "hs":(34.284,54.535), "cb":(179.580,406.460), "cs":(318.750,518.125)},
    4993: {"hb":(31.146,44.102), "hs":(33.154,56.590), "cb":(176.460,392.705), "cs":(408.335,557.915)},
    5161: {"hb":(29.472,44.821), "hs":(32.736,53.429), "cb":(161.670,442.500), "cs":(322.290,626.040)},
    5334: {"hb":(32.665,44.477), "hs":(36.323,62.020), "cb":(172.710,279.790), "cs":(332.085,658.545)},
    5513: {"hb":(33.766,42.170), "hs":(40.731,76.494), "cb":(166.875,261.045), "cs":(325.000,582.290)},
    5698: {"hb":(40.042,57.129), "hs":(37.465,60.629), "cb":(180.000,258.960), "cs":(488.540,796.665)},
    5889: {"hb":(33.870,53.967), "hs":(36.486,64.570), "cb":(173.750,280.625), "cs":(351.875,614.795)},
    6087: {"hb":(39.087,57.938), "hs":(39.257,56.433), "cb":(184.585,415.210), "cs":(316.040,653.335)},
    6291: {"hb":(39.928,57.086), "hs":(39.234,62.271), "cb":(182.290,444.585), "cs":(437.710,600.000)},
    6502: {"hb":(34.578,48.745), "hs":(40.616,59.170), "cb":(177.085,479.165), "cs":(347.705,662.705)},
    6720: {"hb":(37.206,50.718), "hs":(36.577,70.569), "cb":(198.960,371.670), "cs":(392.290,666.250)},
    6946: {"hb":(37.946,50.968), "hs":(38.282,57.143), "cb":(184.170,426.665), "cs":(363.750,660.625)},
    7179: {"hb":(31.975,47.355), "hs":(36.257,63.220), "cb":(216.460,281.455), "cs":(382.085,547.710)},
    7420: {"hb":(31.198,51.413), "hs":(41.177,70.128), "cb":(196.250,274.580), "cs":(413.750,597.500)},
    7669: {"hb":(31.176,65.523), "hs":(38.384,70.446), "cb":(170.205,253.750), "cs":(414.585,600.625)},
    7926: {"hb":(34.860,62.069), "hs":(35.971,58.945), "cb":(191.665,270.415), "cs":(351.665,625.420)},
    8192: {"hb":(37.355,60.430), "hs":(37.780,70.379), "cb":(170.420,263.960), "cs":(362.080,576.040)},
}
