=== M4 Max F vs Lem sweep medians (5 runs, 2026-05-20) ===
    n     F.hb    L.hb     d%     F.hs    L.hs     d%     F.cb    L.cb     d%     F.cs    L.cs     d%
   73    13.40   14.66   -8.6    14.15   20.07  -29.5   127.71  137.50   -7.1   358.33  232.71  +54.0
   75    13.20   14.79  -10.7    16.43   19.39  -15.3   116.04  136.66  -15.1   289.58  223.54  +29.5
   78    13.09   14.77  -11.3    16.07   20.08  -19.9   117.92  124.58   -5.3   287.70  201.66  +42.7
   81    14.50   13.05  +11.1    17.38   19.63  -11.5   115.62  142.71  -19.0   313.75  217.71  +44.1
   83    14.96   12.80  +16.9    16.65   19.41  -14.2   128.96  140.42   -8.2   289.79  217.09  +33.5
   86    15.21   13.34  +14.0    17.16   19.56  -12.3   115.83  133.33  -13.1   309.17  212.29  +45.6
   89    15.85   14.68   +8.0    18.05   19.76   -8.7   130.83  144.58   -9.5   306.25  238.12  +28.6
   92    16.65   14.95  +11.4    17.97   20.57  -12.6   140.83  141.67   -0.6   278.33  219.79  +26.6
   95    16.17   15.31   +5.6    18.92   20.57   -8.0   134.38  145.00   -7.3   353.33  240.21  +47.1
   98    17.12   13.01  +31.6    19.37   19.60   -1.1   148.34  139.58   +6.3   338.12  226.46  +49.3
  102    17.48   14.58  +19.9    19.79   20.69   -4.3   161.66  146.25  +10.5   260.00  228.96  +13.6
  105    20.93   14.36  +45.7    21.11   21.05   +0.3   181.25  140.84  +28.7   323.75  224.38  +44.3
  109    19.54   15.49  +26.1    21.28   21.61   -1.5   163.75  154.16   +6.2   327.92  267.71  +22.5
  112    20.28   13.77  +47.2    21.67   20.65   +4.9   147.29  156.04   -5.6   271.46  247.50   +9.7
  116    20.39   14.20  +43.6    21.31   20.84   +2.3   242.29  143.75  +68.5   396.45  252.71  +56.9
  120    20.99   15.28  +37.4    21.90   20.74   +5.6   242.50  166.25  +45.9   305.20  237.71  +28.4
  124    23.02   15.40  +49.5    23.07   21.35   +8.1   217.09  135.62  +60.1   324.58  243.34  +33.4
  128    13.89   12.72   +9.2    15.28   19.65  -22.2   131.25  137.91   -4.8   271.04  230.41  +17.6
  132    14.44   13.64   +5.8    17.45   21.16  -17.5   119.58  152.29  -21.5   401.45  239.38  +67.7
