correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     1.6     4.3    2.0    1.4    1.4    1.6    1.6    1.4    1.4 |     6.0     6.6    5.8    1.2    1.3    1.9    1.9    1.6    1.6
   16  |     2.8     4.2    1.4    1.2    1.2    1.5    1.5    1.2    1.2 |     6.0     4.7    1.6    1.4    1.1    1.3    1.6    1.4    1.0
   32  |     5.2     4.7    1.6    1.9    2.4    1.4    1.2    2.0    2.4 |     7.7     4.3    1.5    1.9    2.4    1.3    1.2    1.9    2.4
   64  |     9.9     5.2    2.1    2.0    2.4    2.1    2.6    1.9    2.4 |    11.5     4.6    2.1    2.0    2.4    2.2    2.6    1.9    2.4
  128  |    19.3     5.8    2.5    2.4    2.1    2.1    2.6    2.2    2.1 |    19.0     5.4    2.6    2.5    2.4    2.6    2.7    2.4    2.3
  256  |    38.2     6.6    3.2    2.8    2.3    2.6    2.3    2.6    2.3 |    34.0     6.6    4.2    4.1    2.7    4.2    3.4    4.1    2.6
  512  |    82.1     7.6    3.7    3.8    2.8    3.1    2.8    3.3    2.8 |    67.5    12.6    5.7    6.4    3.1    5.0    3.5    5.6    4.4
 1024  |   157.3     8.6    4.7    4.3    3.3    3.6    3.2    3.9    3.3 |   134.2    20.3    8.7    7.0    6.6    6.7    6.2    6.2    3.7
 2048  |   304.0     9.9    5.3    5.6    3.9    4.2    3.7    4.9    4.0 |   241.7    43.2   15.6    9.9    4.1   10.2    4.3    8.8    5.4
 4096  |   593.3    11.1    6.3    6.2    4.6    5.0    4.4    5.5    4.6 |   481.1    69.9   31.5   15.2    5.1   17.6    4.9   11.3    9.2
 4096* | gv4_spine=4.59 gv4_spine_4096=3.67  (warm)  | gv4_spine=9.24 gv4_spine_4096=15.16  (cold)
 4096* |  m4_spine=4.39  m4_spine_4096=3.65  (warm)  |  m4_spine=4.91  m4_spine_4096=16.42  (cold)
