 var     hot_bat     hot_ser    cold_bat    cold_ser  runs
   A       81.63       30.25      228.33      419.38  5
   B       31.26       40.40      186.25      217.71  5
   C       19.12       24.47      160.00      329.38  5
   D       21.57       38.55      166.66      238.54  5
   E       15.12       18.36      158.96      235.62  5
   F       13.25       16.33      161.88      281.67  5
   G       73.81       87.82      231.66      644.38  5
   H       16.99       24.13      213.96      447.50  5
   I       13.32       18.53      167.50      574.38  5
 Lem       85.17       86.28      263.33      546.04  5
