correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     1.5     4.1    1.9    1.4    1.4    1.6    1.6    1.3    1.4 |     4.3     4.8    5.8    1.5    1.5    1.4    1.4    1.4    1.5
   16  |     2.7     4.0    1.3    1.1    1.2    1.4    1.4    1.2    1.2 |     5.5     4.2    1.4    1.0    1.3    1.2    1.1    0.9    0.9
   32  |     5.0     4.5    1.5    1.9    2.3    1.4    1.2    1.9    2.3 |     7.1     3.9    1.5    1.8    2.2    1.2    1.1    1.7    2.1
   64  |     9.4     5.0    2.0    1.9    2.3    2.0    2.5    1.9    2.3 |    11.6     4.5    2.1    1.9    2.3    1.9    2.3    1.7    2.1
  128  |    18.4     5.7    2.4    2.4    2.1    2.1    2.5    2.2    2.1 |    26.5     6.0    2.7    2.5    2.2    2.3    2.4    2.2    2.1
  256  |    37.7     6.5    3.1    2.7    2.3    2.5    2.3    2.6    2.3 |    35.4     7.8    4.2    3.8    2.4    3.7    3.0    3.7    2.3
  512  |    78.8     7.4    3.6    3.7    2.8    3.0    2.9    3.5    2.8 |    69.5    13.0    6.0    6.0    3.2    5.1    3.5    5.4    3.2
 1024  |   153.1     8.5    4.5    4.2    3.2    3.6    3.2    3.8    3.3 |   125.0    21.0    8.8    7.0    6.7    6.3    6.0    5.5    3.4
 2048  |   293.6     9.8    5.1    5.5    3.9    4.1    3.7    4.8    3.9 |   233.7    49.7   16.9   10.8    4.0   10.4    4.2    8.1    5.1
 4096  |   597.6    11.7    6.4    6.2    4.6    5.1    4.4    5.6    4.7 |   492.4    72.2   33.5   15.6   11.6   20.5    7.1   12.2    4.8
 4096* | gv4_spine=4.69 gv4_spine_4096=3.69  (warm)  | gv4_spine=4.82 gv4_spine_4096=14.26  (cold)
 4096* |  m4_spine=4.40  m4_spine_4096=3.72  (warm)  |  m4_spine=7.11  m4_spine_4096=23.50  (cold)
