correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     3.3    11.7    3.6    2.9    2.9    2.9    2.9    2.9    2.9 |     6.6    14.7    6.3    2.6    2.6    2.6    2.6    2.6    2.6
   16  |     4.9    15.0    3.3    2.9    2.9    2.8    2.8    2.9    2.8 |     8.7    18.3    3.2    2.6    2.8    2.6    2.9    2.6    2.9
   32  |     8.8    18.4    3.3    3.3    4.1    2.8    2.8    3.3    4.0 |    11.4    22.8    3.5    3.3    4.0    2.6    2.7    3.3    4.0
   64  |    15.6    21.9    4.9    3.5    4.1    3.8    4.6    3.5    4.0 |    17.1    27.2    5.2    3.9    4.4    4.4    4.9    3.8    4.3
  128  |    39.2    25.3    9.6    5.4    4.6    4.1    4.9    5.4    4.4 |    29.3    32.3   10.7    6.5    5.8    5.5    6.0    6.3    5.6
  256  |    70.0    29.4    7.8   10.1    9.0    6.0    5.4   10.0    8.7 |    58.3    37.7   12.3   13.8   10.8   10.2    9.6   13.5   10.7
  512  |   115.4    33.5   15.2    8.6    6.4   10.6    9.7    8.6    6.1 |   112.3    47.5   26.5   20.3   21.4   17.4   14.1   17.3   17.9
 1024  |   236.5    37.9   11.1   15.9   13.6    9.0    7.1   15.9   13.2 |   201.5    57.2   34.5   34.8   21.5   30.3   27.6   32.9   17.8
 2048  |   461.6    42.7   19.9   12.2    8.1   16.2   14.1   12.3    7.9 |   436.3    77.8   54.1   46.3   22.9   41.8   26.0   41.4   21.2
 4096  |   904.9    47.2   15.2   20.8   16.7   11.7    9.3   20.8   16.2 |   855.1   147.0  104.4   92.0   39.0   84.4   33.2   73.1   36.0
 4096* | gv4_spine=16.16 gv4_spine_4096=14.67  (warm)  | gv4_spine=35.96 gv4_spine_4096=41.44  (cold)
