correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     3.2    11.7    3.6    2.9    2.9    2.9    2.9    2.9    2.9 |     7.0    14.7    6.1    2.6    2.9    2.6    2.7    2.6    2.6
   16  |     7.4    15.0    3.3    2.9    2.8    2.8    2.8    2.9    2.9 |     8.6    18.2    3.2    2.7    2.7    2.6    2.8    2.6    2.9
   32  |     9.3    18.4    3.2    3.3    4.1    2.8    2.8    3.3    3.9 |    11.2    22.8    3.4    3.3    4.1    2.7    2.7    3.3    3.9
   64  |    15.6    21.9    4.9    3.5    4.1    3.9    4.6    3.5    4.2 |    16.8    27.1    5.1    3.9    4.4    4.3    5.1    3.9    4.3
  128  |    30.3    25.2    9.6    5.4    4.6    4.1    4.9    5.1    4.5 |    29.7    31.6   10.5    6.6    5.9    5.6    6.3    6.3    5.9
  256  |    72.8    29.2    7.8   10.0    9.2    6.0    5.4    9.8    8.8 |    54.6    37.3   10.8   13.0   10.4    9.9    9.1   12.6   10.6
  512  |   115.4    33.4   15.2    8.6    6.3   10.9    9.7    7.9    6.2 |   101.2    43.4   21.4   17.2   15.6   16.5   13.6   16.6   15.2
 1024  |   236.5    37.8   11.1   15.9   13.7    9.0    7.1   15.5   13.4 |   219.6    65.0   43.1   41.6   26.0   35.6   33.5   33.1   18.2
 2048  |   462.6    42.5   19.9   12.3    8.1   16.3   14.1   11.1    7.9 |   397.5    78.2   55.4   48.6   26.7   42.9   24.0   44.4   22.6
 4096  |   906.6    47.1   15.2   20.9   16.8   11.7    9.4   20.0   16.2 |   827.9   112.7   78.8   74.2   39.0   70.2   30.6   63.5   34.0
 4096* | gv4_spine=16.17 gv4_spine_4096=14.67  (warm)  | gv4_spine=33.99 gv4_spine_4096=34.43  (cold)
 4096* |  m4_spine=9.35  m4_spine_4096=7.53  (warm)  |  m4_spine=30.58  m4_spine_4096=35.52  (cold)
 4096* | pi5_spine=16.77 pi5_spine_4096=14.66  (warm)  | pi5_spine=39.01 pi5_spine_4096=28.23  (cold)
