correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     3.3    11.7    3.6    2.9    2.9    2.9    2.9    2.9    2.9 |     6.6    14.1    6.4    2.6    2.7    2.6    2.6    2.6    2.6
   16  |     4.9    15.0    3.3    2.9    2.9    2.8    2.8    2.9    2.8 |     8.5    18.4    3.2    2.7    2.9    2.6    2.7    2.6    2.8
   32  |     8.5    18.4    3.3    3.3    4.1    2.8    2.8    3.3    3.9 |    11.4    22.7    3.3    3.3    4.1    2.6    2.9    3.2    4.0
   64  |    15.7    21.9    4.9    3.5    4.1    3.9    4.6    3.5    4.0 |    17.2    27.6    5.2    4.0    4.7    4.5    5.1    3.7    4.3
  128  |    30.1    25.3    9.6    5.4    4.6    4.1    4.9    5.4    4.4 |    30.6    32.3   10.5    6.6    6.2    5.6    6.2    6.3    6.0
  256  |    72.6    29.4    7.8   10.1    9.1    6.0    5.4   10.0    8.7 |    55.1    37.4   11.1   13.2   10.7   10.3    9.1   13.4   10.5
  512  |   115.4    33.5   15.2    8.6    6.4   10.7    9.7    8.7    6.1 |   109.1    44.0   21.9   17.9   19.9   17.0   13.9   16.5   16.6
 1024  |   236.5    37.9   11.1   15.9   13.6    9.0    7.1   16.0   13.3 |   196.9    54.5   32.2   34.0   18.6   29.2   26.7   32.7   17.3
 2048  |   461.6    42.6   19.9   12.3    8.1   16.2   14.1   12.3    7.9 |   434.9    94.4   66.9   51.0   25.3   48.0   24.8   42.4   26.6
 4096  |   904.9    47.2   15.2   20.8   16.7   11.7    9.3   20.8   16.1 |   838.8   124.7   79.4   78.1   38.3   75.3   31.9   65.2   38.8
 4096* | gv4_spine=16.14 gv4_spine_4096=14.67  (warm)  | gv4_spine=38.80 gv4_spine_4096=30.57  (cold)
