correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     3.2    11.7    3.6    2.9    2.9    2.9    2.9    2.9    2.8 |     6.5    14.4    6.3    2.6    2.6    2.6    2.7    2.6    2.6
   16  |     4.9    15.0    3.3    2.9    2.8    2.8    2.8    2.9    2.9 |     8.2    18.5    3.3    2.6    2.8    2.6    3.0    2.7    2.7
   32  |     8.5    18.4    3.2    3.3    4.1    2.8    2.8    3.3    3.9 |    11.4    22.6    3.4    3.4    4.1    2.7    2.8    3.3    3.9
   64  |    15.9    21.8    4.9    3.5    4.2    3.9    4.6    3.5    4.1 |    17.0    26.6    5.3    3.9    4.5    4.5    5.1    3.8    4.4
  128  |    39.9    25.2    9.6    5.4    4.6    4.1    4.9    5.1    4.5 |    29.4    31.8   10.6    6.6    5.9    5.4    6.0    6.1    5.8
  256  |    72.8    29.2    7.8   10.0    9.1    6.0    5.4    9.8    8.7 |    55.7    36.7   11.1   13.2   10.2    9.9    8.9   12.4   10.3
  512  |   115.4    33.4   15.3    8.6    6.3   10.9    9.7    7.9    6.2 |   100.5    43.3   21.0   16.7   15.9   16.3   13.3   16.2   15.3
 1024  |   236.5    37.7   11.1   15.9   13.6    9.0    7.1   15.5   13.4 |   203.9    58.1   35.6   35.5   20.4   30.2   28.7   31.0   16.8
 2048  |   462.7    42.4   19.9   12.3    8.1   16.2   14.2   11.1    7.9 |   410.3    80.0   56.9   49.7   24.1   43.1   24.9   41.6   24.2
 4096  |   906.3    47.1   15.2   20.8   16.8   11.7    9.3   20.0   16.2 |   828.0   119.8   79.4   84.0   36.6   76.2   31.3   64.6   34.2
 4096* | gv4_spine=16.18 gv4_spine_4096=14.67  (warm)  | gv4_spine=34.17 gv4_spine_4096=38.52  (cold)
 4096* |  m4_spine=9.34  m4_spine_4096=7.53  (warm)  |  m4_spine=31.35  m4_spine_4096=35.09  (cold)
 4096* | pi5_spine=16.77 pi5_spine_4096=14.66  (warm)  | pi5_spine=36.62 pi5_spine_4096=42.56  (cold)
