correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     3.2    11.7    3.6    2.9    2.9    2.9    2.9    2.9    2.9 |     6.6    14.5    6.1    2.6    2.7    2.6    2.6    2.6    2.6
   16  |     4.9    15.0    3.3    2.9    2.8    2.8    2.8    2.9    2.9 |     8.6    18.3    3.1    2.6    2.9    2.6    2.8    2.6    2.8
   32  |     8.6    18.4    3.2    3.3    4.1    2.8    2.8    3.3    3.9 |    11.4    22.5    3.4    3.3    4.0    2.6    2.6    3.3    4.0
   64  |    24.6    21.8    4.9    3.5    4.2    3.8    4.6    3.5    4.2 |    17.1    26.8    5.2    4.0    4.5    4.4    5.1    3.9    4.4
  128  |    31.5    25.3    9.6    5.4    4.6    4.1    4.9    5.1    4.5 |    29.1    32.3   10.6    6.4    5.7    5.3    6.0    6.3    5.9
  256  |    73.0    29.2    7.8   10.0    9.1    6.0    5.4    9.8    8.8 |    54.7    37.3   10.7   13.7   10.4    9.5    8.7   12.3   10.4
  512  |   115.4    33.4   15.2    8.6    6.3   10.9    9.7    7.9    6.2 |   102.8    42.6   21.2   17.0   16.0   16.4   13.6   16.1   15.4
 1024  |   236.5    37.7   11.1   15.9   13.7    8.9    7.1   15.6   13.4 |   200.8    56.6   33.2   34.3   20.2   29.8   27.0   30.9   17.1
 2048  |   462.7    42.4   19.9   12.3    8.1   16.3   14.2   11.1    7.9 |   393.5    78.1   55.9   49.2   24.4   41.5   25.2   43.9   21.0
 4096  |   906.3    47.1   15.1   20.8   16.8   11.7    9.3   20.0   16.2 |   856.6   118.7   81.7   80.3   38.2   76.5   33.4   65.0   35.0
 4096* | gv4_spine=16.16 gv4_spine_4096=14.66  (warm)  | gv4_spine=35.02 gv4_spine_4096=29.15  (cold)
 4096* |  m4_spine=9.34  m4_spine_4096=7.51  (warm)  |  m4_spine=33.38  m4_spine_4096=27.56  (cold)
 4096* | pi5_spine=16.76 pi5_spine_4096=14.66  (warm)  | pi5_spine=38.22 pi5_spine_4096=38.54  (cold)
