correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     3.2    11.7    3.6    2.9    2.9    2.9    2.9    2.9    2.8 |     6.7    14.5    6.6    2.6    2.7    2.6    2.6    2.6    2.6
   16  |     4.9    15.0    3.3    2.9    2.8    2.8    2.8    2.9    2.9 |     8.6    18.2    3.1    2.7    2.9    2.6    2.9    2.6    2.8
   32  |    13.5    18.4    3.2    3.3    4.1    2.8    2.8    3.4    3.9 |    11.3    22.3    3.3    3.3    4.0    2.6    2.7    3.3    3.9
   64  |    19.8    21.9    4.9    3.5    4.2    3.9    4.6    3.5    4.1 |    17.0    26.8    5.2    3.8    4.5    4.4    5.1    3.7    4.4
  128  |    30.2    25.3    9.6    5.4    4.6    4.1    4.9    5.1    4.5 |    29.5    32.1   10.4    6.4    5.7    5.3    6.0    6.2    5.9
  256  |    71.1    29.3    7.8   10.0    9.1    6.0    5.4    9.8    8.8 |    54.6    37.1   10.8   13.6   10.4    9.6    8.8   12.3   10.4
  512  |   115.4    33.4   15.2    8.6    6.3   10.9    9.7    7.9    6.2 |   101.1    42.8   20.7   16.5   16.0   16.4   13.3   16.0   15.4
 1024  |   236.5    37.8   11.1   15.9   13.7    9.0    7.1   15.6   13.4 |   207.3    56.9   32.0   34.9   20.5   28.6   26.9   30.6   17.1
 2048  |   462.6    42.4   19.9   12.3    8.1   16.3   14.1   11.1    7.9 |   422.7    80.3   53.5   46.8   23.4   43.0   24.1   40.1   22.3
 4096  |   906.4    47.1   15.2   20.8   16.8   11.7    9.3   20.0   16.2 |   853.7   124.2   80.3   80.2   36.5   77.5   34.5   63.3   34.3
 4096* | gv4_spine=16.18 gv4_spine_4096=14.66  (warm)  | gv4_spine=34.33 gv4_spine_4096=33.60  (cold)
 4096* |  m4_spine=9.35  m4_spine_4096=7.52  (warm)  |  m4_spine=34.45  m4_spine_4096=33.56  (cold)
 4096* | pi5_spine=16.78 pi5_spine_4096=14.65  (warm)  | pi5_spine=36.55 pi5_spine_4096=30.00  (cold)
