correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     3.2    11.7    3.6    2.9    2.9    2.9    2.9    2.9    2.8 |     6.9    14.3    6.1    2.6    2.7    2.6    2.7    2.6    2.6
   16  |     5.2    15.1    3.3    2.9    2.8    2.8    2.8    2.9    2.9 |     8.8    18.8    3.2    2.6    2.6    2.6    2.7    2.6    2.6
   32  |     9.4    18.4    3.2    3.3    4.1    2.8    2.8    3.3    3.9 |    11.5    22.2    3.4    3.3    4.2    2.6    2.7    3.3    4.0
   64  |    24.9    21.9    4.9    3.5    4.1    3.9    4.6    3.5    4.2 |    16.9    26.8    5.1    3.8    4.4    4.3    4.9    3.8    4.3
  128  |    29.9    25.3    9.7    5.4    4.6    4.1    4.9    5.1    4.5 |    29.5    32.2   10.4    6.5    5.6    5.5    6.0    6.2    5.7
  256  |    70.2    29.2    7.8   10.0    9.2    6.0    5.4    9.8    8.7 |    55.4    37.4   10.9   12.8   10.3    9.4    9.0   12.7   10.3
  512  |   115.4    33.4   15.2    8.6    6.3   10.9    9.7    7.9    6.2 |   100.8    43.1   21.1   16.7   15.7   16.6   13.4   15.8   15.1
 1024  |   236.5    37.7   11.1   15.9   13.7    9.0    7.1   15.5   13.4 |   202.6    55.4   32.1   33.8   20.4   28.6   26.0   30.0   16.7
 2048  |   462.7    42.4   19.9   12.3    8.1   16.4   14.1   11.1    7.9 |   453.9    76.9   52.3   44.2   22.8   39.6   24.2   41.5   20.6
 4096  |   906.4    47.1   15.2   20.9   16.8   11.7    9.3   20.0   16.2 |   837.2   122.3   84.7   79.2   35.1   74.6   29.7   64.0   34.9
 4096* | gv4_spine=16.17 gv4_spine_4096=14.66  (warm)  | gv4_spine=34.87 gv4_spine_4096=33.60  (cold)
 4096* |  m4_spine=9.34  m4_spine_4096=7.51  (warm)  |  m4_spine=29.67  m4_spine_4096=32.88  (cold)
 4096* | pi5_spine=16.77 pi5_spine_4096=14.66  (warm)  | pi5_spine=35.10 pi5_spine_4096=29.86  (cold)
