correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     3.2    11.7    3.6    2.9    2.9    2.9    2.9    2.9    2.9 |     6.5    14.1    6.2    2.6    2.6    2.6    2.6    2.6    2.6
   16  |     4.9    15.0    3.3    2.9    2.8    2.8    2.8    2.9    2.9 |     8.6    17.9    3.2    2.7    3.0    2.6    2.8    2.6    2.8
   32  |     8.6    18.4    3.2    3.3    4.1    2.8    2.8    3.3    3.9 |    11.4    22.6    3.2    3.3    4.1    2.7    2.8    3.3    4.0
   64  |    16.0    21.9    4.9    3.5    4.1    3.9    4.6    3.5    4.1 |    17.0    26.9    5.4    4.2    4.5    4.7    5.2    3.9    4.6
  128  |    31.0    25.3    9.6    5.4    4.6    4.1    4.9    5.1    4.5 |    29.4    31.6   10.8    6.6    6.0    5.8    6.4    6.5    6.1
  256  |    67.7    29.2    7.8   10.0    9.1    6.0    5.4    9.8    8.7 |    54.6    37.4   10.9   13.7   10.5   10.0    9.0   13.1   10.4
  512  |   115.4    33.4   15.2    8.6    6.3   10.9    9.7    7.9    6.2 |   100.7    43.1   20.9   16.5   16.0   16.3   13.5   16.1   15.4
 1024  |   236.6    37.7   11.1   15.9   13.7    8.9    7.1   15.6   13.5 |   202.4    55.3   32.5   34.9   19.8   28.4   26.8   30.7   17.3
 2048  |   462.7    42.4   19.9   12.3    8.1   16.3   14.1   11.1    7.9 |   410.5    78.9   54.8   49.8   26.3   42.7   24.2   41.4   21.4
 4096  |   906.2    47.1   15.2   20.8   16.8   11.7    9.3   20.0   16.2 |   835.0   122.2   75.7   78.9   40.3   74.4   32.4   62.4   36.6
 4096* | gv4_spine=16.16 gv4_spine_4096=14.67  (warm)  | gv4_spine=36.57 gv4_spine_4096=27.56  (cold)
 4096* |  m4_spine=9.35  m4_spine_4096=7.51  (warm)  |  m4_spine=32.41  m4_spine_4096=23.63  (cold)
 4096* | pi5_spine=16.78 pi5_spine_4096=14.65  (warm)  | pi5_spine=40.26 pi5_spine_4096=41.94  (cold)
