correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     3.2    11.7    3.6    2.9    2.9    2.9    2.9    2.9    2.8 |     6.4    14.3    6.2    2.6    2.7    2.6    2.6    2.6    2.6
   16  |     5.0    15.0    3.3    2.9    2.8    2.8    2.8    2.9    2.9 |     8.7    18.1    3.2    2.6    2.6    2.6    2.6    2.6    2.6
   32  |    14.1    18.4    3.2    3.3    4.1    2.8    2.8    3.3    3.9 |    11.4    22.8    3.5    3.3    4.1    2.7    2.7    3.3    4.0
   64  |    15.6    21.9    4.9    3.5    4.2    3.8    4.6    3.5    4.1 |    16.9    27.3    5.2    3.9    4.6    4.5    5.2    3.9    4.4
  128  |    40.8    25.3    9.6    5.4    4.6    4.1    4.9    5.1    4.5 |    29.7    31.9   10.6    6.6    6.0    5.5    6.1    6.3    5.9
  256  |    70.1    29.2    7.8   10.1    9.2    6.0    5.4    9.8    8.7 |    54.8    37.3   11.0   13.1   10.8   10.1    9.6   12.7   10.5
  512  |   115.4    33.5   15.2    8.6    6.3   10.9    9.7    7.9    6.2 |   102.4    43.2   22.3   17.6   17.6   16.5   13.7   16.3   16.8
 1024  |   236.5    37.7   11.1   15.8   13.7    9.0    7.1   15.6   13.4 |   205.2    56.2   32.6   35.3   21.0   30.1   27.0   30.1   17.4
 2048  |   462.7    42.4   19.9   12.3    8.1   16.3   14.1   11.1    7.9 |   405.6    79.1   56.6   48.5   24.3   43.1   24.8   42.0   21.0
 4096  |   906.5    47.1   15.2   20.8   16.8   11.7    9.4   20.0   16.1 |   835.1   127.1   87.9   83.6   38.1   78.9   33.6   66.4   34.9
 4096* | gv4_spine=16.15 gv4_spine_4096=14.67  (warm)  | gv4_spine=34.93 gv4_spine_4096=27.85  (cold)
 4096* |  m4_spine=9.36  m4_spine_4096=7.51  (warm)  |  m4_spine=33.63  m4_spine_4096=24.64  (cold)
 4096* | pi5_spine=16.76 pi5_spine_4096=14.65  (warm)  | pi5_spine=38.10 pi5_spine_4096=31.82  (cold)
