correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     3.3    11.6    3.6    2.9    2.9    2.9    2.9    2.9    2.9 |     6.5    14.1    6.2    2.6    2.6    2.6    2.6    2.6    2.6
   16  |     4.9    15.0    3.3    2.9    2.9    2.8    2.8    2.9    2.8 |     8.7    18.4    3.1    2.7    2.8    2.6    2.9    2.6    3.0
   32  |     8.5    18.4    3.3    3.3    4.1    2.8    2.8    3.3    4.0 |    11.4    22.5    3.4    3.3    4.2    2.6    2.9    3.3    4.1
   64  |    15.6    21.8    4.9    3.5    4.1    3.9    4.6    3.5    4.0 |    17.3    27.2    5.4    4.0    4.7    4.5    5.2    3.9    4.5
  128  |    29.9    25.3    9.6    5.4    4.6    4.1    4.9    5.4    4.4 |    30.3    32.6   10.6    6.7    6.2    5.9    6.2    6.4    6.1
  256  |    70.7    29.3    7.8   10.1    9.1    6.0    5.4   10.0    8.7 |    59.0    37.3   11.4   14.0   11.0   10.5    9.6   13.1   10.5
  512  |   115.4    33.5   15.2    8.6    6.4   10.7    9.7    8.7    6.1 |   107.1    43.2   22.8   18.3   17.7   17.3   14.0   16.8   16.0
 1024  |   236.6    37.9   11.1   15.9   13.6    8.9    7.1   15.9   13.3 |   201.8    57.3   34.2   35.0   20.7   31.8   27.0   33.0   18.1
 2048  |   461.6    42.7   19.9   12.3    8.1   16.1   14.1   12.3    7.9 |   403.9    78.2   54.8   52.5   23.9   43.8   23.9   43.0   23.6
 4096  |   905.0    47.3   15.2   20.8   16.7   11.7    9.3   20.8   16.1 |   851.2   117.3   81.1   79.4   37.9   74.1   31.8   69.5   33.8
 4096* | gv4_spine=16.14 gv4_spine_4096=14.66  (warm)  | gv4_spine=33.82 gv4_spine_4096=30.39  (cold)
