correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     3.5    11.7    3.6    2.9    2.9    2.9    2.9    2.9    2.9 |     6.5    14.2    6.2    2.6    2.6    2.6    2.6    2.6    2.6
   16  |     4.9    15.0    3.3    2.9    2.9    2.8    2.8    2.9    2.8 |     8.7    18.4    3.2    2.6    2.8    2.6    2.9    2.6    2.8
   32  |     8.5    18.4    3.3    3.3    4.1    2.8    2.8    3.3    4.0 |    11.5    22.5    3.3    3.3    4.3    2.6    2.9    3.2    4.2
   64  |    15.6    21.8    4.9    3.5    4.1    3.9    4.6    3.5    4.0 |    17.1    27.9    5.2    3.9    4.7    4.5    5.3    3.8    4.4
  128  |    32.9    25.3    9.6    5.4    4.6    4.1    4.9    5.4    4.4 |    29.4    32.8   10.6    6.7    6.2    5.7    6.3    6.5    6.0
  256  |    74.5    29.4    7.8   10.1    9.0    6.0    5.4   10.0    8.7 |    54.9    37.3   11.0   13.3   10.7   10.4    9.5   13.3   10.4
  512  |   115.4    33.5   15.2    8.6    6.4   10.6    9.7    8.6    6.1 |   101.0    44.1   21.4   17.3   16.6   17.1   14.0   16.7   15.9
 1024  |   236.5    37.9   11.1   15.9   13.6    9.0    7.1   15.9   13.3 |   199.9    55.5   33.0   34.9   19.2   27.7   26.4   31.9   17.0
 2048  |   461.6    42.6   19.9   12.2    8.1   16.2   14.1   12.3    7.9 |   454.6   103.3   73.4   57.0   27.1   52.5   26.4   45.5   22.2
 4096  |   904.9    47.3   15.2   20.8   16.7   11.7    9.3   20.8   16.1 |   832.1   121.6   84.0   79.5   40.2   77.0   29.9   68.5   33.1
 4096* | gv4_spine=16.14 gv4_spine_4096=14.66  (warm)  | gv4_spine=33.07 gv4_spine_4096=30.44  (cold)
