correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     3.2    11.8    3.6    2.9    2.9    2.9    2.9    2.9    2.8 |     6.9    14.4    6.1    2.6    2.7    2.6    2.6    2.6    2.6
   16  |     4.9    15.0    3.3    2.9    2.8    2.8    2.8    2.9    2.9 |     8.6    17.9    3.2    2.6    2.8    2.6    2.9    2.6    2.8
   32  |     8.6    18.4    3.2    3.3    4.1    2.8    2.8    3.3    4.0 |    11.4    22.5    3.3    3.3    4.0    2.7    2.7    3.3    3.9
   64  |    23.9    21.9    4.9    3.5    4.1    3.8    4.6    3.5    4.1 |    16.6    26.9    5.2    3.8    4.6    4.4    5.0    3.9    4.4
  128  |    29.9    25.3    9.6    5.4    4.6    4.1    4.9    5.1    4.5 |    29.9    32.3   10.4    6.5    6.0    5.4    6.1    6.2    5.8
  256  |    69.3    29.2    7.8   10.0    9.2    6.0    5.4    9.8    8.7 |    54.7    37.2   11.5   13.6   10.6   10.0    9.3   13.1   10.8
  512  |   115.4    33.4   15.2    8.6    6.3   10.9    9.7    7.9    6.2 |   101.8    43.0   21.8   17.6   17.5   17.1   14.0   16.7   16.2
 1024  |   236.6    37.8   11.1   15.9   13.7    9.0    7.1   15.6   13.4 |   202.1    55.7   32.6   35.1   19.3   29.6   27.5   31.3   18.4
 2048  |   462.7    42.4   19.9   12.2    8.1   16.3   14.2   11.1    7.9 |   404.4    76.6   53.3   46.4   25.9   41.4   25.2   41.9   22.9
 4096  |   906.3    47.1   15.1   20.8   16.8   11.7    9.3   20.0   16.1 |   828.0   124.4   80.0   82.7   39.7   77.3   31.8   64.8   37.6
 4096* | gv4_spine=16.15 gv4_spine_4096=14.66  (warm)  | gv4_spine=37.61 gv4_spine_4096=32.05  (cold)
 4096* |  m4_spine=9.34  m4_spine_4096=7.52  (warm)  |  m4_spine=31.84  m4_spine_4096=29.81  (cold)
 4096* | pi5_spine=16.75 pi5_spine_4096=14.65  (warm)  | pi5_spine=39.73 pi5_spine_4096=28.56  (cold)
