correctness: ok

size   | warm ns/q:  linear  binary  simd   intel  intels | cold ns/q:  linear  binary  simd   intel  intels
-------+------------------------------------------------+------------------------------------------------
    8  |     2.7    14.5    2.8    2.5    2.5              |     8.1    17.5    8.0    2.5    2.5
   16  |     3.9    18.6    3.3    2.8    2.5              |     9.6    22.2    3.2    2.5    2.5
   32  |     6.5    22.9    3.1    3.4    3.4              |    11.9    28.1    3.3    3.1    3.5
   64  |    12.2    27.4    5.0    3.2    3.8              |    17.0    32.7    5.0    3.2    3.6
  128  |    24.2    32.8   10.7    4.7    4.4              |    23.0    36.6   11.6    5.2    5.0
  256  |    45.5    38.9    7.5   10.3   10.3              |    51.6    49.7   26.5   23.6   18.6
  512  |    87.6    44.7   15.1    7.7    6.6              |    92.6    65.2   45.9   36.5   21.1
 1024  |   179.1    49.8   10.3   15.4   14.7              |   140.9    77.1   43.8   38.0   23.3
 2048  |   347.1    55.1   18.9   10.1    9.0              |   298.6    98.7   56.2   47.3   25.9
 4096  |   656.6    60.7   13.8   19.6   18.0              |   493.6   115.9   70.7   64.6   37.2
 4096* | intel_spine=17.98 intel_spine_4096=14.02  (warm)  | intel_spine=37.23 intel_spine_4096=25.48  (cold)
