correctness: ok

size   | warm ns/q:  linear  binary  simd   intel  intels | cold ns/q:  linear  binary  simd   intel  intels
-------+------------------------------------------------+------------------------------------------------
    8  |     2.8    14.6    2.8    2.5    2.5              |     8.2    17.2    8.2    2.5    2.5
   16  |     4.1    18.6    3.3    2.8    2.5              |    10.0    22.1    3.3    2.5    2.5
   32  |     6.5    22.9    3.1    3.1    3.4              |    12.8    28.6    3.2    3.1    3.4
   64  |    12.2    27.4    5.0    3.3    3.7              |    17.6    31.3    5.3    3.3    3.7
  128  |    24.4    32.8   10.7    4.7    4.4              |    24.5    36.8   11.8    5.2    5.1
  256  |    44.5    38.9    7.5   10.4   10.4              |    44.6    45.1   14.6   14.5   12.5
  512  |    84.0    44.7   15.1    7.6    6.7              |   113.6    71.0   58.8   48.2   21.0
 1024  |   178.3    49.9   10.4   15.8   14.8              |   141.8    81.6   45.8   39.9   23.3
 2048  |   345.0    54.9   18.9   10.1    9.0              |   300.2   101.5   56.7   47.0   25.6
 4096  |   650.0    60.6   13.8   19.5   18.1              |   493.9   123.9   71.5   64.9   39.3
 4096* | intel_spine=18.15 intel_spine_4096=14.00  (warm)  | intel_spine=39.31 intel_spine_4096=25.87  (cold)
