correctness: ok

size   | warm ns/q:  linear  binary  simd   intel  intels | cold ns/q:  linear  binary  simd   intel  intels
-------+------------------------------------------------+------------------------------------------------
    8  |     2.8    14.6    2.8    2.5    2.5              |     8.3    17.5    8.3    2.5    2.5
   16  |     3.9    18.5    3.3    2.8    2.5              |    10.1    22.4    3.2    2.5    2.5
   32  |     6.5    22.9    3.1    3.1    3.6              |    11.9    27.8    3.3    3.0    3.5
   64  |    12.8    27.4    5.0    3.3    3.7              |    16.6    31.8    5.0    3.2    3.9
  128  |    24.2    32.7   10.7    4.7    4.6              |    24.2    36.4   11.8    5.2    5.0
  256  |    45.4    38.9    7.5   10.6   10.3              |    41.7    45.5   16.6   15.4   13.2
  512  |    86.1    44.7   15.1    8.2    6.5              |    76.7    62.4   35.2   28.0   16.2
 1024  |   182.2    49.9   10.3   15.4   14.9              |   141.7    81.9   46.0   39.9   24.2
 2048  |   341.9    55.0   18.9   10.2    9.0              |   299.8   103.6   56.6   47.2   25.7
 4096  |   654.7    60.6   13.8   19.4   17.8              |   573.5   124.1   71.2   64.9   36.3
 4096* | intel_spine=17.82 intel_spine_4096=14.02  (warm)  | intel_spine=36.31 intel_spine_4096=25.88  (cold)
