correctness: ok

size   | warm ns/q:  linear  binary  simd   intel  intels | cold ns/q:  linear  binary  simd   intel  intels
-------+------------------------------------------------+------------------------------------------------
    8  |     2.7    14.6    2.8    2.5    2.5              |     8.1    17.3    8.4    2.5    2.5
   16  |     3.9    18.5    3.3    2.7    2.5              |     9.6    22.0    3.2    2.5    2.5
   32  |     6.5    22.9    3.1    3.2    3.5              |    12.0    26.2    3.2    3.0    4.2
   64  |    12.2    27.4    5.0    3.3    3.8              |    17.0    32.1    5.0    3.3    3.7
  128  |    24.9    32.8   10.7    4.7    4.4              |    23.5    37.5   12.2    5.8    5.6
  256  |    45.7    38.9    7.5   10.3   10.3              |    42.3    46.0   17.1   15.8   13.9
  512  |    88.8    44.7   15.1    7.6    6.6              |    82.0    61.4   36.8   27.5   16.7
 1024  |   179.2    49.8   10.3   15.5   14.7              |   140.6    77.4   43.7   37.3   23.4
 2048  |   341.2    55.0   18.9   10.1    9.1              |   298.7    95.9   56.5   47.9   26.4
 4096  |   657.7    60.3   13.8   19.5   18.1              |   493.5   117.1   71.0   65.8   39.6
 4096* | intel_spine=18.11 intel_spine_4096=14.02  (warm)  | intel_spine=39.64 intel_spine_4096=25.98  (cold)
